price,bedrooms,bathrooms,property_type,location,area_sqft
4825000,2,3,Apartment,Downtown Dubai,1
1150000,0,1,Apartment,Business Bay,502
2475000,1,2,Apartment,Dubai Marina,696
1450000,1,2,Apartment,Dubai Marina,810
2400000,1,2,Apartment,Business Bay,571
3850000,2,2,Apartment,Dubai Marina,1
2750000,1,1,Apartment,Umm Suqeim,298
1800000,1,1,Apartment,Dubai Creek Harbour,157
3350000,3,3,Apartment,Dubai Hills Estate,643
2190000,1,1,Apartment,Business Bay,1
1530000,1,2,Apartment,Dubai Hills Estate,834
619900,0,1,Apartment,Jumeirah Lake Towers (JLT),1
11000000,4,4,Apartment,Dubai Harbour,786
3290000,1,1,Apartment,Bluewaters Island,837
1350000,1,1,Apartment,Dubai Hills Estate,834
4500000,2,3,Apartment,Downtown Dubai,892
1900000,1,1,Apartment,Al Wasl,552
610000,0,1,Apartment,Jumeirah Lake Towers (JLT),1
650000,0,1,Apartment,Jumeirah Village Triangle (JVT),557
2000000,1,1,Apartment,Dubai Hills Estate,615
2400000,1,1,Apartment,Umm Suqeim,171
6100000,2,3,Apartment,Dubai Harbour,932
2250000,1,1,Apartment,Al Wasl,557
2857000,2,2,Apartment,Jumeirah Lake Towers (JLT),843
757000,0,1,Apartment,Jumeirah Village Circle (JVC),262
700000,0,1,Apartment,Jumeirah Lake Towers (JLT),1
1150000,1,2,Apartment,Meydan City,251
1200000,1,2,Apartment,Meydan City,251
2100000,1,1,Apartment,Umm Suqeim,261
1470000,1,1,Apartment,Dubai Hills Estate,834
1300000,1,1,Apartment,Business Bay,642
3800000,2,3,Apartment,Dubai Marina,1
1200000,0,1,Apartment,Business Bay,835
3300000,2,3,Apartment,Umm Suqeim,261
1750000,1,2,Apartment,Business Bay,1
2000000,1,1,Apartment,Dubai Creek Harbour,1
750000,0,1,Apartment,Dubai Science Park,437
630000,0,1,Apartment,Jumeirah Village Triangle (JVT),557
1200000,1,1,Apartment,Arjan,225
2390000,2,3,Apartment,Sobha Hartland,897
1800000,1,1,Apartment,Dubai Creek Harbour,422
975000,1,2,Apartment,Meydan City,251
9500000,4,4,Apartment,Dubai Harbour,1
1200000,1,2,Apartment,Al Furjan,392
3650000,1,2,Apartment,Dubai Harbour,1
1400000,2,3,Apartment,Jumeirah Village Circle (JVC),176
720000,1,1,Apartment,Jumeirah Village Circle (JVC),168
2180000,1,2,Apartment,Dubai Creek Harbour,1
3450000,1,1,Apartment,Palm Jumeirah,1
1430000,1,1,Apartment,Dubai Hills Estate,643
13500000,4,6,Apartment,Al Wasl,279
6200000,2,3,Apartment,Dubai Harbour,1
889360,0,1,Apartment,Business Bay,1
5300000,3,3,Apartment,Umm Suqeim,224
1300000,1,1,Apartment,Business Bay,642
10500000,4,5,Apartment,Downtown Dubai,892
5500000,2,3,Apartment,Dubai Harbour,932
3524081,2,3,Apartment,Dubai Marina,1
3290000,1,1,Apartment,Bluewaters Island,1
3999999,3,4,Apartment,Dubai Creek Harbour,1
2399999,1,2,Apartment,Business Bay,572
2200000,1,1,Apartment,Dubai Marina,1
1400000,1,1,Apartment,Sobha Hartland,1
1850000,2,3,Apartment,Jumeirah Village Circle (JVC),277
2150000,1,2,Apartment,Dubai Creek Harbour,1
2600000,1,2,Apartment,Dubai Harbour,1
6000000,2,3,Apartment,Palm Jumeirah,1
